SKU,Product Name,Category,Current Image URL,New Image URL
WIR-GI-COIL,GI Galvanized Iron Wire,Building Materials,https://images.unsplash.com/photo-1590247813693-5541d1c609fd?w=600&auto=format&fit=crop&q=80,https://img3.exportersindia.com/product_images/bc-full/2024/9/13883057/gi-wire-1726479291-7604617.jpeg
FAS-NAIL-RND,"Iron Wire Nails (Round 1""-4"")",Building Materials,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://dipalitraders.in/wp-content/uploads/2026/04/common-round-wire-nail-500x500-1-removebg-preview.png
FAS-ROOF-SCR,Roofing Nails & Wood Screws Set,Building Materials,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://i.pepita.hu/images/product/26632170/set-cuie-zincate-bituminoase-pentru-sindrila-20-si-30-mm-300-buc-cuie-pentru-acoperis-cuie-de-otel-galvanizate-cu-cap-mare-element-de-fixare-cu-tija-striarta-pentru-folie-bituminoasa-accesorii-pentru-tinichigerie-renovare-acoperis-set-cuie-maro-si-argintii_158475083_1200x630.jpg
CHM-FIX-LWPL,Dr. Fixit LW+ Waterproofing Liquid,Hardware & Tools,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://drfixit-stg.s3.ap-south-1.amazonaws.com/assets/images/products/xhdpi/16191739476082a23b4efc6.webp
CHM-FIX-URP,Dr. Fixit Pidicrete URP / Sika Latex,Hardware & Tools,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Dr.+Fixit+Pidicrete+URP+%2F+Sika+Latex
CHM-WAL-PUTT,White Cement Wall Putty,Paints & Primers,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=White+Cement+Wall+Putty
TLS-FLR-6060,Double Charge Vitrified Tiles (2x2 ft),Building Materials,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Double+Charge+Vitrified+Tiles+%282x2+ft%29
TLS-FLR-6012,Large Slab Floor Tiles (2x4 ft),Building Materials,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Large+Slab+Floor+Tiles+%282x4+ft%29
TLS-WAL-3045,Digital Bathroom & Kitchen Wall Tiles,Building Materials,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Digital+Bathroom+%26+Kitchen+Wall+Tiles
TLS-ADH-TYP1,Roff Tile Adhesive (Type 1),Hardware & Tools,https://images.unsplash.com/photo-1572981779307-38b8cabb2407?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Roff+Tile+Adhesive+%28Type+1%29
TLS-GRT-JOINT,Epoxy & Polymer Tile Grout,Hardware & Tools,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Epoxy+%26+Polymer+Tile+Grout
TLS-BLD-BOSC,"Diamond 4"" Tile Cutting Blade",Building Materials,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://supply-ontime.com/cdn/shop/files/makita-diamond-blades-b-69565-c3_1000_700x700.jpg?v=1755785098
TLS-FIT-SPAC,Tile Spacers & Leveling System Clips,Hardware & Tools,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Tile+Spacers+%26+Leveling+System+Clips
TLS-MAL-RUBB,Rubber Mallet with Wooden Handle,Hardware & Tools,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Rubber+Mallet+with+Wooden+Handle
TOOL-HAM-CLAW,Steel Claw Hammer (500g / 1kg),Hardware & Tools,https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Steel+Claw+Hammer+%28500g+%2F+1kg%29
TOOL-MAS-TROW,Mason Spring Steel Trowel (Kornik),Hardware & Tools,https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Mason+Spring+Steel+Trowel+%28Kornik%29
TOOL-TAP-MEAS,Steel Measuring Tape (3m / 5m / 30m),Hardware & Tools,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Steel+Measuring+Tape+%283m+%2F+5m+%2F+30m%29
MAT-TAR-POLY,Heavy Duty Tarpaulin (Tripal),Hardware & Tools,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Heavy+Duty+Tarpaulin+%28Tripal%29
SFT-GLV-PROT,Safety Hand Gloves & Helmet,Hardware & Tools,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Safety+Hand+Gloves+%26+Helmet
CLN-BRM-NATR,Heavy Duty Coconut & Floor Broom,Hardware & Tools,https://images.unsplash.com/photo-1585670270677-3ac279e8cd86?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Heavy+Duty+Coconut+%26+Floor+Broom
PNT-PRM-AP-TRU,Asian Paints TruCare Interior Wall Primer (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Asian+Paints+TruCare+Interior+Wall+Primer+%2810L%29
PNT-PRM-BG-LUX,Berger Luxol / Bison Wall Primer (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Berger+Luxol+%2F+Bison+Wall+Primer+%2810L%29
PNT-PRM-BO-CAL,Birla Opus Calista Perfect Choice Primer (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Birla+Opus+Calista+Perfect+Choice+Primer+%2810L%29
PNT-PRM-AP-SC,Asian Paints SmartCare Exterior Wall Sealer (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Asian+Paints+SmartCare+Exterior+Wall+Sealer+%2810L%29
PNT-PRM-BG-WTC,Berger WeatherCoat Exterior Primer (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Berger+WeatherCoat+Exterior+Primer+%2810L%29
PNT-PRM-BO-STY,Birla Opus Style Perfect Start Primer (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Birla+Opus+Style+Perfect+Start+Primer+%2810L%29
PNT-PRM-AP-ROX,Asian Paints Red Oxide Metal Primer (1L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Asian+Paints+Red+Oxide+Metal+Primer+%281L%29
PNT-PRM-AP-WOD,Asian Paints Pink Wood Primer (1L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Asian+Paints+Pink+Wood+Primer+%281L%29
PNT-PRM-NR-GEN,Nerolac General Purpose Wood Primer (1L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Nerolac+General+Purpose+Wood+Primer+%281L%29
PNT-PRM-SL-SYN,Seelac Synthetic Enamel White Primer (1L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Seelac+Synthetic+Enamel+White+Primer+%281L%29
PNT-EML-AP-TRC,Asian Paints Tractor Emulsion (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Asian+Paints+Tractor+Emulsion+%2810L%29
PNT-DST-AP-SYN,Asian Paints Tractor Synthetic Distemper (10kg),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Asian+Paints+Tractor+Synthetic+Distemper+%2810kg%29
PNT-EML-BG-EC,Berger Easy Clean / Rangoli Acrylic Emulsion (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Berger+Easy+Clean+%2F+Rangoli+Acrylic+Emulsion+%2810L%29
PNT-EML-JSW-HL,JSW Paints Halo Interior Emulsion (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=JSW+Paints+Halo+Interior+Emulsion+%2810L%29
PNT-EXT-AP-APX,Asian Paints Apex Ultima Exterior Emulsion (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Asian+Paints+Apex+Ultima+Exterior+Emulsion+%2810L%29
PNT-EXT-AP-ACE,Asian Paints Ace Exterior Emulsion (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Asian+Paints+Ace+Exterior+Emulsion+%2810L%29
PNT-EXT-BG-WLL,Berger WeatherCoat Long Life (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Berger+WeatherCoat+Long+Life+%2810L%29
PNT-WPF-DF-DMP,Dr. Fixit Damp Proof Waterproof Coating (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Dr.+Fixit+Damp+Proof+Waterproof+Coating+%2810L%29
PNT-WPF-BO-ADR,Birla Opus AllDry Wall & Roof (10L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Birla+Opus+AllDry+Wall+%26+Roof+%2810L%29
PNT-ENM-AP-APC,Asian Paints Apcolite Premium Gloss Enamel (1L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Asian+Paints+Apcolite+Premium+Gloss+Enamel+%281L%29
PNT-ENM-BG-LUX,Berger Luxol High Gloss Enamel (1L),Paints & Primers,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Berger+Luxol+High+Gloss+Enamel+%281L%29
ADH-FEV-SH-1KG,Fevicol SH Synthetic Resin Adhesive (1kg),Hardware & Tools,https://images.unsplash.com/photo-1572981779307-38b8cabb2407?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Fevicol+SH+Synthetic+Resin+Adhesive+%281kg%29
ADH-FEV-MAR-1KG,Fevicol Marine Waterproof Adhesive (1kg),Hardware & Tools,https://images.unsplash.com/photo-1572981779307-38b8cabb2407?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Fevicol+Marine+Waterproof+Adhesive+%281kg%29
ADH-FEV-SPX-1KG,Fevicol Speedx Fast-Setting Glue (1kg),Hardware & Tools,https://images.unsplash.com/photo-1572981779307-38b8cabb2407?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Fevicol+Speedx+Fast-Setting+Glue+%281kg%29
ADH-FEV-HTX-1KG,Fevicol HeatX High Heat Adhesive (1L),Hardware & Tools,https://images.unsplash.com/photo-1572981779307-38b8cabb2407?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Fevicol+HeatX+High+Heat+Adhesive+%281L%29
CEM-WHT-BIR-25,Birla White Cement (25kg),Building Materials,https://images.unsplash.com/photo-1590069261209-f8e9b8642343?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Birla+White+Cement+%2825kg%29
CEM-WHT-JK-25,JK White Cement (25kg),Building Materials,https://images.unsplash.com/photo-1590069261209-f8e9b8642343?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=JK+White+Cement+%2825kg%29
PUT-WAL-AP-TRU,Asian Paints TruCare Wall Putty (20kg),Paints & Primers,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Asian+Paints+TruCare+Wall+Putty+%2820kg%29
PNT-STN-AP-FT,Asian Paints Fast Tint / Universal Stainer (100ml),Paints & Primers,https://images.unsplash.com/photo-1513519245088-0e12902e5a38?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Asian+Paints+Fast+Tint+%2F+Universal+Stainer+%28100ml%29
PNT-STN-BG-UNI,Berger Universal Stainer (100ml),Paints & Primers,https://images.unsplash.com/photo-1513519245088-0e12902e5a38?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Berger+Universal+Stainer+%28100ml%29
PNT-OXI-RED-1KG,Dry Oxide Powder Color - Red Oxide (1kg),Paints & Primers,https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Dry+Oxide+Powder+Color+-+Red+Oxide+%281kg%29
PNT-OXI-YEL-1KG,Dry Oxide Powder Color - Yellow Oxide (1kg),Paints & Primers,https://images.unsplash.com/photo-1541701494587-cb58502866ab?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Dry+Oxide+Powder+Color+-+Yellow+Oxide+%281kg%29
PLM-PIP-CPVC-075,"CPVC Hot & Cold Water Pipe 3/4"" (3m / 10ft)",Pipes & Sanitary,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=CPVC+Hot+%26+Cold+Water+Pipe+3%2F4%22+%283m+%2F+10ft%29
PLM-PIP-UPVC-100,"UPVC Cold Water Plumbing Pipe 1"" (3m / 10ft)",Pipes & Sanitary,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=UPVC+Cold+Water+Plumbing+Pipe+1%22+%283m+%2F+10ft%29
PLM-PIP-SWR-110,"PVC SWR Drainage & Waste Pipe 110mm / 4"" (10ft)",Pipes & Sanitary,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=PVC+SWR+Drainage+%26+Waste+Pipe+110mm+%2F+4%22+%2810ft%29
PLM-PIP-GI-050,"GI Heavy Duty Galvanized Iron Pipe 1/2"" (10ft)",Pipes & Sanitary,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=GI+Heavy+Duty+Galvanized+Iron+Pipe+1%2F2%22+%2810ft%29
PLM-FIT-CPVC-ELB90,"CPVC 90ÃÂ° Plain Elbow 3/4""",Pipes & Sanitary,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=CPVC+90%C3%83%C2%82%C3%82%C2%B0+Plain+Elbow+3%2F4%22
PLM-FIT-CPVC-TEE,"CPVC Equal Tee 3/4""",Pipes & Sanitary,https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=CPVC+Equal+Tee+3%2F4%22
PLM-FIT-CPVC-UNI,"CPVC Union 3/4""",Pipes & Sanitary,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=CPVC+Union+3%2F4%22
PLM-FIT-UPVC-RED,"UPVC Reducing Bush / Reducer 1"" to 3/4""",Pipes & Sanitary,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=UPVC+Reducing+Bush+%2F+Reducer+1%22+to+3%2F4%22
PLM-FIT-CPVC-CAP,"CPVC End Cap 3/4""",Pipes & Sanitary,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=CPVC+End+Cap+3%2F4%22
PLM-FIT-FTA-BRS,"CPVC Brass Female Threaded Adaptor (FTA) 3/4"" x 1/2""",Pipes & Sanitary,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=CPVC+Brass+Female+Threaded+Adaptor+%28FTA%29+3%2F4%22+x+1%2F2%22
PLM-VLV-BL-100,"UPVC Heavy Duty Ball Valve 1""",Pipes & Sanitary,https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=UPVC+Heavy+Duty+Ball+Valve+1%22
PLM-VLV-NRV-075,"Brass Non-Return Valve (Check Valve) 3/4""",Pipes & Sanitary,https://images.unsplash.com/photo-1585771724684-38269d6639fd?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Brass+Non-Return+Valve+%28Check+Valve%29+3%2F4%22
PLM-VLV-CON-STP,"Concealed Stop Cock 1/2"" Brass",Pipes & Sanitary,https://images.unsplash.com/photo-1542013936693-884638332954?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Concealed+Stop+Cock+1%2F2%22+Brass
SNT-EWC-ONE-PC,Ceramic One-Piece Western Commode (EWC) with Soft Close Seat,Pipes & Sanitary,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Ceramic+One-Piece+Western+Commode+%28EWC%29+with+Soft+Close+Seat
SNT-PAN-ORI-20,"Orissa Squatting Pan 20"" White Ceramic",Pipes & Sanitary,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Orissa+Squatting+Pan+20%22+White+Ceramic
SNT-WSH-BSN-18,"Wall Hung Ceramic Wash Basin 18"" x 12""",Pipes & Sanitary,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Wall+Hung+Ceramic+Wash+Basin+18%22+x+12%22
SNT-CIS-DUAL-FL,Dual-Flush Slim Cistern Tank (White PVC),Pipes & Sanitary,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Dual-Flush+Slim+Cistern+Tank+%28White+PVC%29
CPF-TAP-BIB-050,"Brass Chrome Plated (CP) Bib Cock with Flange 1/2""",Pipes & Sanitary,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Brass+Chrome+Plated+%28CP%29+Bib+Cock+with+Flange+1%2F2%22
CPF-TAP-PIL-050,"Brass CP Basin Pillar Cock 1/2""",Pipes & Sanitary,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Brass+CP+Basin+Pillar+Cock+1%2F2%22
CPF-SHW-JET-SPR,Health Faucet Jet Spray with 1m SS Flexible Hose & Hook,Pipes & Sanitary,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Health+Faucet+Jet+Spray+with+1m+SS+Flexible+Hose+%26+Hook
CPF-SHW-RAIN-OVR,"Overhead Rain Shower 6"" with 9"" SS Arm",Pipes & Sanitary,https://images.unsplash.com/photo-1552321554-5fefe8c9ef14?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Overhead+Rain+Shower+6%22+with+9%22+SS+Arm
CPF-TRP-BOT-BRP,"Brass Bottle Trap 7"" for Wash Basin with Extension Pipe",Pipes & Sanitary,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Brass+Bottle+Trap+7%22+for+Wash+Basin+with+Extension+Pipe
CPF-JAL-FLR-05,"Stainless Steel Floor Drain Jali 5"" (Pop-up Odor Trap)",Pipes & Sanitary,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Stainless+Steel+Floor+Drain+Jali+5%22+%28Pop-up+Odor+Trap%29
CPF-WST-CPL-05,"Brass Basin Waste Coupling (Half Threaded) 3""",Pipes & Sanitary,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Brass+Basin+Waste+Coupling+%28Half+Threaded%29+3%22
ELE-CON-FLX-20,PVC Flexible Corrugated Conduit Pipe Roll 20mm (50m),Electricals,https://images.unsplash.com/photo-1542013936693-884638332954?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=PVC+Flexible+Corrugated+Conduit+Pipe+Roll+20mm+%2850m%29
ELE-CON-FLX-25,PVC Flexible Corrugated Conduit Pipe Roll 25mm (50m),Electricals,https://images.unsplash.com/photo-1542013936693-884638332954?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=PVC+Flexible+Corrugated+Conduit+Pipe+Roll+25mm+%2850m%29
ELE-CON-RGD-20,PVC Rigid Conduit Pipe 20mm Heavy Duty / 1.5mm (3m / 10ft),Electricals,https://images.unsplash.com/photo-1542013936693-884638332954?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=PVC+Rigid+Conduit+Pipe+20mm+Heavy+Duty+%2F+1.5mm+%283m+%2F+10ft%29
ELE-CON-RGD-25,PVC Rigid Conduit Pipe 25mm Heavy Duty / 2mm (3m / 10ft),Electricals,https://images.unsplash.com/photo-1542013936693-884638332954?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=PVC+Rigid+Conduit+Pipe+25mm+Heavy+Duty+%2F+2mm+%283m+%2F+10ft%29
ELE-JBX-PVC-4WY,PVC 4-Way Deep Junction Box with Lid 25mm,Electricals,https://images.unsplash.com/photo-1517420704952-d9f39e95b43e?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=PVC+4-Way+Deep+Junction+Box+with+Lid+25mm
ELE-JBX-PVC-3WY,PVC 3-Way Tee Junction Box 20mm,Electricals,https://images.unsplash.com/photo-1517420704952-d9f39e95b43e?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=PVC+3-Way+Tee+Junction+Box+20mm
ELE-JBX-MET-OCT,"GI Metal Octagonal Junction Box 4"" Heavy Galvanized",Electricals,https://images.unsplash.com/photo-1517420704952-d9f39e95b43e?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=GI+Metal+Octagonal+Junction+Box+4%22+Heavy+Galvanized
ELE-JBX-PLY-WPF,"Polycarbonate Waterproof Junction Box IP65 (4"" x 4"")",Electricals,https://images.unsplash.com/photo-1517420704952-d9f39e95b43e?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Polycarbonate+Waterproof+Junction+Box+IP65+%284%22+x+4%22%29
ELE-FAN-BOX-GI,Heavy GI Ceiling Fan Box with High-Tensile Hanging Rod,Electricals,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Heavy+GI+Ceiling+Fan+Box+with+High-Tensile+Hanging+Rod
ELE-CON-LGT-BOX,"Concealed Light Box / Spotlight Junction Box 3""",Electricals,https://images.unsplash.com/photo-1517420704952-d9f39e95b43e?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=Concealed+Light+Box+%2F+Spotlight+Junction+Box+3%22
ELE-BOX-MOD-04M,GI Concealed Modular Switch Box 4 Module (18 Gauge),Electricals,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=600&auto=format&fit=crop&q=80,https://placehold.co/600x600/png?text=GI+Concealed+Modular+Switch+Box+4+Module+%2818+Gauge%29
